  x      y     z      t      dx      dy      dz      dt      p         dp        n
  -200.0    370.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    370.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    370.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    370.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    335.909     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    335.909     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    335.909     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    335.909     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    330.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    330.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    330.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    330.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    320.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    320.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    320.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    320.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    310.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    310.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    310.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    310.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    275.159     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    275.159     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    275.159     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    275.159     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    270.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    270.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    270.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    270.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    260.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    260.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    260.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    260.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
