  x      y     z      t      dx      dy      dz      dt      p         dp        n
  150.0    550.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    550.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    550.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    550.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    518.159     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    518.159     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    518.159     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    518.159     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    510.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    510.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    510.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    510.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    500.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    500.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    500.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    500.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    490.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    490.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    490.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    490.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    457.409     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    457.409     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    457.409     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  150.0    457.409     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
