  x      y     z      t      dx      dy      dz      dt      p         dp        n
  -350.0    90.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    90.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    80.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    80.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    80.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    80.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    70.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    70.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    70.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    70.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    32.16     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    32.16     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    32.16     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    32.16     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    30.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    30.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    30.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    30.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    20.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    20.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    20.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    20.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    10.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    10.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    10.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -350.0    10.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -340.0    578.909     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -340.0    578.909     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
