idx,population,X,Y,Z,border_distance,total_truth,total_pred,pred_over_truth,genPhotons,min_opdet_dist,pe_weighted_dist,closest_detID,max_single_opdet_pe,max_pe_detID
37,D_high_truth_gt1200k,20,31.135,4329.74,31.135,1.2484e+06,1.29897e+06,1.0405,10000000,20.05,107.043,3259,582324,3259
38,D_high_truth_gt1200k,20,31.135,4450.53,31.135,1.21777e+06,1.28334e+06,1.05384,10000000,20.05,106.868,3239,582724,3239
39,D_high_truth_gt1200k,20,31.135,4562.13,31.135,1.24808e+06,1.2989e+06,1.04071,10000000,20.05,106.969,3219,582629,3219
40,D_high_truth_gt1200k,20,31.135,4682.92,31.135,1.2184e+06,1.28318e+06,1.05317,10000000,20.05,107.058,3199,581878,3199
41,D_high_truth_gt1200k,20,31.135,4794.52,31.135,1.24726e+06,1.29859e+06,1.04116,10000000,20.05,107.066,3179,581400,3179
42,D_high_truth_gt1200k,20,31.135,4915.31,31.135,1.2176e+06,1.28256e+06,1.05335,10000000,20.05,106.751,3159,580737,3159
43,D_high_truth_gt1200k,20,31.135,5026.91,31.135,1.24792e+06,1.29736e+06,1.03961,10000000,20.05,106.311,3139,582703,3139
44,D_high_truth_gt1200k,20,31.135,5147.7,31.135,1.2161e+06,1.27995e+06,1.0525,10000000,20.05,105.763,3119,582003,3119
45,D_high_truth_gt1200k,20,31.135,5259.3,31.135,1.24341e+06,1.29212e+06,1.03918,10000000,20.05,104.9,3099,581108,3099
46,D_high_truth_gt1200k,20,31.135,5380.09,31.135,1.21143e+06,1.26873e+06,1.0473,10000000,20.05,102.912,3079,581402,3079
47,D_high_truth_gt1200k,20,31.135,5491.69,31.135,1.23234e+06,1.26903e+06,1.02977,10000000,20.05,100.14,3059,581590,3059
48,C_bridge_truth_1100k_1200k,20,31.135,5612.48,116.71,1.18328e+06,1.24629e+06,1.05325,10000000,20.05,94.6307,3039,582006,3039
49,C_bridge_truth_1100k_1200k,20,31.135,5724.08,226.233,1.16448e+06,1.20747e+06,1.03692,10000000,20.05,88.4938,3019,583730,3019
50,B_mid_truth_600k_1100k,20,46.703,35.119,268.967,870338,873925,1.00412,10000000,25.3842,109.061,3999,349280,3999
51,B_mid_truth_600k_1100k,20,46.703,146.719,160.238,983893,1.02303e+06,1.03977,10000000,25.3842,112.727,3979,336704,3979
52,B_mid_truth_600k_1100k,20,46.703,267.509,56.8932,984156,1.01999e+06,1.03641,10000000,25.3842,120.959,3959,335186,3959
53,B_mid_truth_600k_1100k,20,46.703,379.109,46.703,1.02816e+06,1.0533e+06,1.02445,10000000,25.3842,124.382,3939,336395,3939
54,B_mid_truth_600k_1100k,20,46.703,499.899,46.703,1.0027e+06,1.04922e+06,1.04639,10000000,25.3842,128.158,3919,335440,3919
55,B_mid_truth_600k_1100k,20,46.703,611.499,46.703,1.03759e+06,1.06868e+06,1.02996,10000000,25.3842,129.017,3899,336817,3899
56,B_mid_truth_600k_1100k,20,46.703,732.289,46.703,1.00583e+06,1.05633e+06,1.05021,10000000,25.3842,130.586,3879,335503,3879
57,B_mid_truth_600k_1100k,20,46.703,843.889,46.703,1.03885e+06,1.07221e+06,1.03211,10000000,25.3842,130.311,3859,336846,3859
58,B_mid_truth_600k_1100k,20,46.703,964.679,46.703,1.00628e+06,1.058e+06,1.05139,10000000,25.3842,131.152,3839,335226,3839
59,B_mid_truth_600k_1100k,20,46.703,1076.28,46.703,1.0396e+06,1.07305e+06,1.03217,10000000,25.3842,130.417,3819,337411,3819
60,B_mid_truth_600k_1100k,20,46.703,1197.07,46.703,1.0059e+06,1.05841e+06,1.0522,10000000,25.3842,131.451,3799,335324,3799
